[19-01-10 11:56:23][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5750, 체결량:       1, 주문/체결시간: 115620, 종목명: 우원개발, 
[19-01-10 12:18:09][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5740, 체결량:       1, 주문/체결시간: 121809, 종목명: 우원개발, 
[19-01-10 12:24:47][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5750, 체결량:       1, 주문/체결시간: 122303, 종목명: 우원개발, 
[19-01-10 12:32:40][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5770, 체결량:       1, 주문/체결시간: 123236, 종목명: 우원개발, 
[19-01-10 12:35:52][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5760, 체결량:       1, 주문/체결시간: 123552, 종목명: 우원개발, 
[19-01-10 12:43:31][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5750, 체결량:       1, 주문/체결시간: 124331, 종목명: 우원개발, 
[19-01-10 12:46:43][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5740, 체결량:       1, 주문/체결시간: 124643, 종목명: 우원개발, 
[19-01-10 14:40:09][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5800, 체결량:       1, 주문/체결시간: 144008, 종목명: 우원개발, 
[19-01-10 14:41:33][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5820, 체결량:       1, 주문/체결시간: 144133, 종목명: 우원개발, 
[19-01-10 14:45:41][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5810, 체결량:       1, 주문/체결시간: 144541, 종목명: 우원개발, 
[19-01-10 14:47:19][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5810, 체결량:       1, 주문/체결시간: 144719, 종목명: 우원개발, 
[19-01-10 14:48:30][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5810, 체결량:       1, 주문/체결시간: 144830, 종목명: 우원개발, 
[19-01-10 14:53:52][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5810, 체결량:       1, 주문/체결시간: 145352, 종목명: 우원개발, 
[19-01-10 14:55:56][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5810, 체결량:       1, 주문/체결시간: 145556, 종목명: 우원개발, 
[19-01-10 14:56:26][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5820, 체결량:       1, 주문/체결시간: 145626, 종목명: 우원개발, 
[19-01-10 15:07:48][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5870, 체결량:       1, 주문/체결시간: 150747, 종목명: 우원개발, 
[19-01-10 15:10:28][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5890, 체결량:       1, 주문/체결시간: 151028, 종목명: 우원개발, 
[19-01-10 15:12:25][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5880, 체결량:       1, 주문/체결시간: 151225, 종목명: 우원개발, 
[19-01-10 15:15:11][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5850, 체결량:       1, 주문/체결시간: 151510, 종목명: 우원개발, 
[19-01-10 15:17:07][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5880, 체결량:       1, 주문/체결시간: 151706, 종목명: 우원개발, 
[19-01-10 15:19:22][*체결정보     ] 종목코드: 046940, 주문구분: +매수, 체결가:       5830, 체결량:       1, 주문/체결시간: 151921, 종목명: 우원개발, 
